director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Karan Razdan,Jannat Zubair Rahmani,Atul Kulkarni,Rituparna Sengupta,Horror,warning,Jannat Zubair Rahmani Atul Kulkarni Rituparna Sengupta Karan Razdan Horror
Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpai,Social,aarakshan,Amitabh Bachchan Saif Ali Khan Manoj Bajpai Prakash Jha Social
Girish Dhamija,Rajneesh Duggal,Adah Sharma,Roshni Chopra,Thriller,phhir,Rajneesh Duggal Adah Sharma Roshni Chopra Girish Dhamija Thriller
Ajay Chandok,Sanjay Dutt,Ameesha Patel,Suresh Menon,Comedy,chatur singh two star,Sanjay Dutt Ameesha Patel Suresh Menon Ajay Chandok Comedy
Ram Gopal Varma,Mahie Gill,Deepak Dobriyal,Ajay Gehi,Crime,not a love story,Mahie Gill Deepak Dobriyal Ajay Gehi Ram Gopal Varma Crime
Parvin Dabas,Parvin Dabas,Sharat Saxena,Vansh Bharadwaj,Comedy,sahi dhandhe galat bande,Parvin Dabas Sharat Saxena Vansh Bharadwaj Parvin Dabas Comedy
Suneet Arora,Ravi Kissen,Rahul Singh,Rajesh Shringapure,Social,chitkabrey – shades of grey,Ravi Kissen Rahul Singh Rajesh Shringapure Suneet Arora Social
Lalit Marathe,Isha Koppikar,unknown,unknown,Action,shabri,Isha Koppikar unknown unknown Lalit Marathe Action
Deepshika,Deepshika,Kaishav Arora,unknown,Romance,yeh dooriyan,Deepshika Kaishav Arora unknown Deepshika Romance
Siddique,Salman Khan,Kareena Kapoor,Hazel Keech,Romance/Action,bodyguard,Salman Khan Kareena Kapoor Hazel Keech Siddique Romance/Action
Pammi Somal,Kirron Kher,Jackie Shroff,Divya Dutta,Comedy,mummy punjabi,Kirron Kher Jackie Shroff Divya Dutta Pammi Somal Comedy
Anurag Kashyap,Kalki Koechlin,Naseeruddin Shah,unknown,Social,that girl in yellow boots,Kalki Koechlin Naseeruddin Shah unknown Anurag Kashyap Social
